nohup: ignoring input
Preprocessing....
Loading data...
Model parameters:  17583594
Training....
[model]
num_layers = 4
num_heads = 8
d_model = 512
dff = 512
pe_input = 120
pe_target = 120
rate = 0.1
device = cuda:2

[data]
max_length = 100
batch_size = 512
on_full = True
full_data_path = /home/Zhouyu/MODEL/translate/ustpo_list.txt
250k_data_path = /home/Zhouyu/MODEL/translate/ustpo250k_list.txt
vocab_path = /home/Zhouyu/MODEL/translate/vocab.txt

[train]
epochs = 20
save_dir = /home/Zhouyu/MODEL/translate/save
save_name = /test17m.tar
print_trainstep_every = 100
teacher_forcing_ratio = 0.2

[optimizer]
lr = 0.0001
beta1 = 0.9
beta2 = 0.98
eps = 1e-9

[generate]
on = False
ckpt = /home/Zhouyu/MODEL/translate/save/test2passbig240m.tar
==================== 2024-02-29 20:39:11 ====================
  0%|          | 0/7172 [00:00<?, ?it/s]Epoch 1 | Step 0 | Loss 6.4985 | Accuracy 0.0005
Epoch 1 | Step 100 | Loss 2.1358 | Accuracy 0.4049
Epoch 1 | Step 200 | Loss 1.9010 | Accuracy 0.4246
Epoch 1 | Step 300 | Loss 1.7994 | Accuracy 0.4329
Epoch 1 | Step 400 | Loss 1.7452 | Accuracy 0.4372
Epoch 1 | Step 500 | Loss 1.7110 | Accuracy 0.4398
Epoch 1 | Step 600 | Loss 1.6880 | Accuracy 0.4418
Epoch 1 | Step 700 | Loss 1.6713 | Accuracy 0.4432
Epoch 1 | Step 800 | Loss 1.6602 | Accuracy 0.4441
Epoch 1 | Step 900 | Loss 1.6520 | Accuracy 0.4446
Epoch 1 | Step 1000 | Loss 1.6452 | Accuracy 0.4452
Epoch 1 | Step 1100 | Loss 1.6403 | Accuracy 0.4455
Epoch 1 | Step 1200 | Loss 1.6366 | Accuracy 0.4457
Epoch 1 | Step 1300 | Loss 1.6342 | Accuracy 0.4456
Epoch 1 | Step 1400 | Loss 1.6325 | Accuracy 0.4456
Epoch 1 | Step 1500 | Loss 1.6313 | Accuracy 0.4455
Epoch 1 | Step 1600 | Loss 1.6304 | Accuracy 0.4453
Epoch 1 | Step 1700 | Loss 1.6300 | Accuracy 0.4451
Epoch 1 | Step 1800 | Loss 1.6296 | Accuracy 0.4449
Epoch 1 | Step 1900 | Loss 1.6302 | Accuracy 0.4445
Epoch 1 | Step 2000 | Loss 1.6306 | Accuracy 0.4442
